Job ID,Civil Service Title,Agency,Posting Type,Job Category,Salary Range From,Salary Range To
533616,INVESTMENT MANAGER (COMPTROLLE,OFFICE OF THE COMPTROLLER,External,"Finance, Accounting, & Procurement",110000.0,133900.0
533618,INVESTMENT MANAGER (COMPTROLLE,OFFICE OF THE COMPTROLLER,Internal,"Finance, Accounting, & Procurement",160000.0,175000.0
542352,QUALITY ASSURANCE SPECIALIST (,DEPT OF ENVIRONMENT PROTECTION,Internal,"Public Safety, Inspections, & Enforcement",49950.0,62037.0
550730,SUPERVISOR OF STOCK WORKERS,OFFICE OF THE COMPTROLLER,External,Administration & Human Resources,47955.0,52750.0
517843,ASSOCIATE HOUSING DEVELOPMENT,NYC HOUSING AUTHORITY,Internal,"Technology, Data & Innovation Policy, Research & Analysis",74650.0,109409.0
542752,EXECUTIVE AGENCY COUNSEL,ADMIN TRIALS AND HEARINGS,External,Legal Affairs,100000.0,112560.0
527794,PLASTERER,NYC HOUSING AUTHORITY,External,Building Operations & Maintenance,48.27,48.27
527010,AUTOMOTIVE SERVICE WORKER,POLICE DEPARTMENT,External,"Public Safety, Inspections, & Enforcement",36474.0,42419.0
526599,DIRECTOR OF FIELD OPERATIONS (,ADMIN FOR CHILDREN'S SVCS,Internal,Social Services,58700.0,102226.0
518092,PUBLIC HEALTH SANITARIAN,DEPT OF HEALTH/MENTAL HYGIENE,External,"Health Public Safety, Inspections, & Enforcement",45722.0,52580.0
534688,COMMUNITY COORDINATOR,DEPT OF HEALTH/MENTAL HYGIENE,Internal,Health,54100.0,62215.0
541240,STOCK WORKER,DEPT OF DESIGN & CONSTRUCTION,Internal,Building Operations & Maintenance,36900.0,45033.0
548661,AGENCY ATTORNEY,CONSUMER AND WORKER PROTECTION,Internal,Legal Affairs,71423.0,82137.0
532558,RESEARCH PROJECTS COORDINATOR,MAYORS OFFICE OF CONTRACT SVCS,Internal,"Constituent Services & Community Programs Communications & Intergovernmental Affairs Finance, Accounting, & Procurement Policy, Research & Analysis",50000.0,60000.0
550741,CLERICAL ASSOCIATE,TAXI & LIMOUSINE COMMISSION,Internal,"Legal Affairs Policy, Research & Analysis",40017.0,62820.0
547665,PROJECT MANAGER,DEPT OF DESIGN & CONSTRUCTION,Internal,"Engineering, Architecture, & Planning",57078.0,65640.0
552414,RESEARCH AND LIAISON COORDINAT,OFFICE OF THE COMPTROLLER,Internal,"Finance, Accounting, & Procurement",80000.0,95000.0
551460,CLERICAL ASSOCIATE,DEPARTMENT OF BUILDINGS,External,Administration & Human Resources,36390.0,41848.0
527590,PUBLIC HEALTH SANITARIAN,DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Health Public Safety, Inspections, & Enforcement",45722.0,52580.0
547400,SUPERVISOR I (SOCIAL SERVICES),ADMIN FOR CHILDREN'S SVCS,Internal,Social Services,51199.0,58879.0
528311,SCIENTIST (WATER ECOLOGY),DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Health Public Safety, Inspections, & Enforcement",52931.0,60871.0
546725,ADMINISTRATIVE STAFF ANALYST (,DEPARTMENT OF FINANCE,Internal,"Finance, Accounting, & Procurement Policy, Research & Analysis",84451.0,95964.0
542885,PRINCIPAL ADMINISTRATIVE ASSOC,DEPT OF DESIGN & CONSTRUCTION,External,Administration & Human Resources,53057.0,61015.0
536952,ADM CONSTRUCTION PRJ MGR-NM,DEPT OF DESIGN & CONSTRUCTION,External,"Engineering, Architecture, & Planning",53702.0,123150.0
549877,AGENCY ATTORNEY,OFFICE OF THE COMPTROLLER,External,Legal Affairs,77000.0,93500.0
523900,ASSOCIATE CONTRACT SPECIALIST,DEPT OF YOUTH & COMM DEV SRVS,Internal,Constituent Services & Community Programs,60193.0,90704.0
552809,DIRECTOR OF  INVESTMENTS (COMP,OFFICE OF THE COMPTROLLER,Internal,"Finance, Accounting, & Procurement",270000.0,300000.0
549032,AGENCY ATTORNEY INTERNE,DEPT OF CITYWIDE ADMIN SVCS,External,Legal Affairs,65000.0,65000.0
532235,AGENCY ATTORNEY,HUMAN RIGHTS COMMISSION,Internal,Legal Affairs,63228.0,72712.0
455079,IT PROJECT SPECIALIST,DEPARTMENT OF TRANSPORTATION,Internal,"Technology, Data & Innovation",75000.0,160000.0
533757,CITY RESEARCH SCIENTIST,DEPARTMENT OF CORRECTION,External,"Policy, Research & Analysis",84468.0,97138.0
521666,ADMINISTRATIVE CONTRACT SPECIA,DEPT OF YOUTH & COMM DEV SRVS,Internal,"Finance, Accounting, & Procurement",58700.0,192152.0
535553,ASSOCIATE HOUSING DEVELOPMENT,NYC HOUSING AUTHORITY,External,"Engineering, Architecture, & Planning Finance, Accounting, & Procurement Policy, Research & Analysis",74650.0,109409.0
197941,PUBLIC HEALTH NURSE (SCHOOL HE,DEPT OF HEALTH/MENTAL HYGIENE,External,Health,32.11,36.93
551557,COMMUNITY ASSOCIATE,HOUSING PRESERVATION & DVLPMNT,External,Constituent Services & Community Programs,38333.0,44083.0
550019,CIVIL ENGINEERING INTERN,DEPT OF ENVIRONMENT PROTECTION,Internal,"Engineering, Architecture, & Planning",51413.0,59125.0
552563,ADMIN COMMUNITY RELATIONS SPEC,DEPARTMENT OF BUILDINGS,Internal,Administration & Human Resources,64749.0,120000.0
524695,INVESTIGATOR (CCRB),CIVILIAN COMPLAINT REVIEW BD,Internal,"Legal Affairs Policy, Research & Analysis Public Safety, Inspections, & Enforcement",42293.0,63702.0
552018,COMMUNITY COORDINATOR,DEPT OF PARKS & RECREATION,Internal,"Finance, Accounting, & Procurement",54100.0,83981.0
552018,COMMUNITY COORDINATOR,DEPT OF PARKS & RECREATION,Internal,"Finance, Accounting, & Procurement",54100.0,83981.0
519196,ADMINISTRATIVE STAFF ANALYST (,DEPT OF YOUTH & COMM DEV SRVS,Internal,"Policy, Research & Analysis Social Services",84451.0,113550.0
547943,COMPUTER SPECIALIST (SOFTWARE),DEPT OF ENVIRONMENT PROTECTION,External,"Technology, Data & Innovation",85371.0,109990.0
551599,COMMUNITY ASSOCIATE,HOUSING PRESERVATION & DVLPMNT,Internal,Constituent Services & Community Programs,38333.0,44083.0
541341,ASSOCIATE PUBLIC HEALTH SANITA,NYC HOUSING AUTHORITY,External,"Public Safety, Inspections, & Enforcement",60437.0,93935.0
460998,ADMINISTRATIVE CONSTRUCTION PR,NYC HOUSING AUTHORITY,External,"Engineering, Architecture, & Planning",180000.0,185000.0
515156,ECONOMIST,NYC HOUSING AUTHORITY,External,"Policy, Research & Analysis",56013.0,84862.0
551203,ANALYST CFB AL 2&3 ONLY,CAMPAIGN FINANCE BOARD,External,Administration & Human Resources,100000.0,115000.0
550937,CLAIM SPECIALIST,OFFICE OF THE COMPTROLLER,External,Legal Affairs,51079.0,58741.0
551206,COMMUNITY COORDINATOR,NYC EMPLOYEES RETIREMENT SYS,External,"Administration & Human Resources Health Policy, Research & Analysis",54100.0,62215.0
528940,CITY RESEARCH SCIENTIST,DEPT OF PARKS & RECREATION,Internal,"Technology, Data & Innovation",115000.0,120000.0
528940,CITY RESEARCH SCIENTIST,DEPT OF PARKS & RECREATION,Internal,"Technology, Data & Innovation",115000.0,120000.0
552924,COMMUNITY COORDINATOR,BRONX DISTRICT ATTORNEY,External,"Legal Affairs Public Safety, Inspections, & Enforcement",65000.0,65000.0
527793,PLUMBER'S HELPER,NYC HOUSING AUTHORITY,External,Building Operations & Maintenance,36.95,36.95
533864,CARPENTER,DEPT. OF HOMELESS SERVICES,Internal,Building Operations & Maintenance Social Services,375.06,375.06
515906,BOROUGH COMMISSIONER (DOT),DEPARTMENT OF TRANSPORTATION,Internal,"Constituent Services & Community Programs Communications & Intergovernmental Affairs Engineering, Architecture, & Planning",80931.0,208826.0
543513,CYBER SECURITY ANALYST,DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Health Technology, Data & Innovation",78795.0,113300.0
540782,AUTO BODY WORKER,POLICE DEPARTMENT,External,Building Operations & Maintenance,50604.0,65339.0
550768,AGENCY ATTORNEY,TAXI & LIMOUSINE COMMISSION,Internal,Legal Affairs,79620.0,117541.0
546723,IT PROJECT SPECIALIST,DEPT OF PARKS & RECREATION,External,"Finance, Accounting, & Procurement Technology, Data & Innovation",75000.0,85000.0
527788,HOUSING EXTERMINATOR (HA),NYC HOUSING AUTHORITY,External,"Policy, Research & Analysis Public Safety, Inspections, & Enforcement",33558.0,54820.0
528729,CONFIDENTIAL INVESTIGATOR,DEPARTMENT OF INVESTIGATION,External,"Policy, Research & Analysis Public Safety, Inspections, & Enforcement",55000.0,60000.0
548936,INSPECTOR (CONSTRUCTION),DEPARTMENT OF BUILDINGS,External,"Public Safety, Inspections, & Enforcement",53563.0,61800.0
552474,AGENCY ATTORNEY,FIRE DEPARTMENT,External,Legal Affairs,79620.0,117541.0
550567,COMMUNITY ASSOCIATE,HOUSING PRESERVATION & DVLPMNT,External,Constituent Services & Community Programs,38333.0,44083.0
482129,ECONOMIST,NYC HOUSING AUTHORITY,External,"Policy, Research & Analysis",59422.0,92758.0
484977,SENIOR IT ARCHITECT,FINANCIAL INFO SVCS AGENCY,Internal,"Technology, Data & Innovation",0.0,100000.0
544066,OPERATIONS COMMUNICATION SPECI,TAXI & LIMOUSINE COMMISSION,External,"Public Safety, Inspections, & Enforcement",21.9436,29.5665
552359,AGENCY ATTORNEY,FIRE DEPARTMENT,Internal,Legal Affairs,79620.0,117541.0
535319,COMPUTER SPECIALIST (SOFTWARE),TAXI & LIMOUSINE COMMISSION,External,"Technology, Data & Innovation",95317.0,109000.0
552018,COMMUNITY COORDINATOR,DEPT OF PARKS & RECREATION,External,"Finance, Accounting, & Procurement",54100.0,83981.0
550910,COLLEGE AIDE (ALL CITY DEPTS),TAXI & LIMOUSINE COMMISSION,Internal,"Technology, Data & Innovation",15.5,19.9
548554,IT INFRASTRUCTURE ENGINEER,FINANCIAL INFO SVCS AGENCY,Internal,"Technology, Data & Innovation",0.0,140000.0
537846,AGENCY ATTORNEY INTERNE,DEPT OF ENVIRONMENT PROTECTION,External,Legal Affairs,62397.0,71757.0
541270,ADMINISTRATIVE MANAGER,DEPT OF ENVIRONMENT PROTECTION,Internal,"Communications & Intergovernmental Affairs Engineering, Architecture, & Planning Policy, Research & Analysis",180000.0,200000.0
534531,CASEWORKER,ADMIN FOR CHILDREN'S SVCS,Internal,Legal Affairs Social Services,41483.0,47705.0
550884,AUTO MECHANIC (DIESEL),DEPARTMENT OF CORRECTION,External,Building Operations & Maintenance,37.28,43.4
490693,PROGRAM SPECIALIST  CORRECTION,DEPARTMENT OF CORRECTION,Internal,Constituent Services & Community Programs Social Services,76408.0,91234.0
528438,LEGAL COORDINATOR,DEPARTMENT OF CORRECTION,External,Social Services,47418.0,54531.0
528179,ARCHITECT,HRA/DEPT OF SOCIAL SERVICES,External,"Engineering, Architecture, & Planning Social Services",80557.0,111917.0
551443,PRINCIPAL ADMINISTRATIVE ASSOC,DEPARTMENT OF BUILDINGS,Internal,Administration & Human Resources Constituent Services & Community Programs,47418.0,60000.0
484977,SENIOR IT ARCHITECT,FINANCIAL INFO SVCS AGENCY,External,"Technology, Data & Innovation",0.0,100000.0
508504,CHILD AND FAMILY SPECIALIST,ADMIN FOR CHILDREN'S SVCS,External,Social Services,73027.0,87622.0
529297,COMMUNITY ASSISTANT,ADMIN FOR CHILDREN'S SVCS,Internal,Social Services,32520.0,37398.0
543226,ADMINISTRATIVE MANAGEMENT AUDI,HRA/DEPT OF SOCIAL SERVICES,External,"Administration & Human Resources Constituent Services & Community Programs Communications & Intergovernmental Affairs Finance, Accounting, & Procurement Social Services",64922.0,126530.0
535189,ADMINISTRATIVE DIRECTOR OF SOC,ADMIN FOR CHILDREN'S SVCS,Internal,Social Services,58700.0,63301.0
532229,ADM MANAGER-NON-MGRL FRM M1/M2,DEPARTMENT OF TRANSPORTATION,Internal,Administration & Human Resources Constituent Services & Community Programs,60718.0,90773.0
539400,COMMUNITY COORDINATOR,MANHATTAN COMMUNITY BOARD #1,External,"Engineering, Architecture, & Planning",60000.0,60000.0
531798,COMPUTER SPECIALIST (SOFTWARE),DEPARTMENT OF CITY PLANNING,External,"Technology, Data & Innovation",81951.0,90000.0
532864,RESEARCH PROJECTS COOR(MA)-MGR,MAYORS OFFICE OF CONTRACT SVCS,Internal,"Technology, Data & Innovation Policy, Research & Analysis",110000.0,130000.0
479554,IT AUTOMATION AND MONITORING E,DEPARTMENT OF CORRECTION,Internal,"Technology, Data & Innovation",100000.0,140000.0
544455,STEAM FITTER,DEPARTMENT OF CORRECTION,External,Building Operations & Maintenance,55.0,55.0
530607,ADMINISTRATIVE SUPERVISOR OF B,DEPT OF CITYWIDE ADMIN SVCS,External,"Engineering, Architecture, & Planning",90000.0,100000.0
515350,IT INFRASTRUCTURE ENGINEER,DEPARTMENT OF TRANSPORTATION,External,"Technology, Data & Innovation",75000.0,180000.0
549876,COMPUTER SYSTEMS MANAGER,HOUSING PRESERVATION & DVLPMNT,Internal,"Technology, Data & Innovation",110000.0,120000.0
458064,ADMINISTRATIVE PUBLIC RECORDS,NYC HOUSING AUTHORITY,Internal,"Legal Affairs Policy, Research & Analysis",72038.0,192152.0
546597,EMERGENCY PREPAREDNESS SPECIAL,OFFICE OF EMERGENCY MANAGEMENT,External,"Public Safety, Inspections, & Enforcement",57500.0,69500.0
547128,ASSISTANT COMMISSIONER (DBS),DEPARTMENT OF BUSINESS SERV.,Internal,Constituent Services & Community Programs,88936.0,223761.0
530498,COLLEGE AIDE (ALL CITY DEPTS),TAX COMMISSION,External,"Policy, Research & Analysis",15.5,19.9
539937,CRIME ANALYST,BRONX DISTRICT ATTORNEY,Internal,"Communications & Intergovernmental Affairs Technology, Data & Innovation Policy, Research & Analysis Public Safety, Inspections, & Enforcement",54786.0,54786.0
551584,HOUSING DEVELOPMENT SPECIALIST,HOUSING PRESERVATION & DVLPMNT,Internal,Constituent Services & Community Programs,57078.0,65640.0
547428,CITY RESEARCH SCIENTIST,BOARD OF CORRECTION,Internal,"Technology, Data & Innovation Policy, Research & Analysis Public Safety, Inspections, & Enforcement",84468.0,101000.0
544442,PLUMBER,DEPARTMENT OF CORRECTION,Internal,Building Operations & Maintenance,52.79,52.79
536685,PRINCIPAL ADMINISTRATIVE ASSOC,ADMIN FOR CHILDREN'S SVCS,External,"Finance, Accounting, & Procurement Social Services",25.954,29.8473
550484,CHAPLAIN,DEPARTMENT OF CORRECTION,External,Social Services,51022.0,58675.0
551433,PRINCIPAL ADMINISTRATIVE ASSOC,DEPARTMENT OF BUILDINGS,External,Administration & Human Resources,53057.0,70000.0
530478,CITY RESEARCH SCIENTIST,ADMIN FOR CHILDREN'S SVCS,Internal,Social Services,75504.0,86830.0
549796,COMPUTER ASSOC (TECH SUPP),HOUSING PRESERVATION & DVLPMNT,External,"Technology, Data & Innovation",51345.0,59047.0
546705,IT PROJECT SPECIALIST,FINANCIAL INFO SVCS AGENCY,External,"Technology, Data & Innovation",110000.0,120000.0
531149,PROCUREMENT ANALYST,HRA/DEPT OF SOCIAL SERVICES,External,"Administration & Human Resources Finance, Accounting, & Procurement Social Services",50972.0,58618.0
543254,COMMUNITY COORDINATOR,DEPARTMENT OF TRANSPORTATION,Internal,"Administration & Human Resources Communications & Intergovernmental Affairs Policy, Research & Analysis",54100.0,83981.0
552150,COMPUTER SERVICE TECHNICIAN (C,LAW DEPARTMENT,External,"Technology, Data & Innovation",24.3043,27.9502
511052,CLERICAL ASSOCIATE,DEPARTMENT OF CORRECTION,External,Administration & Human Resources,40017.0,46019.0
529215,ASSOCIATE STAFF ANALYST,HRA/DEPT OF SOCIAL SERVICES,External,"Administration & Human Resources Policy, Research & Analysis Social Services",70611.0,86887.0
545609,COMMUNITY ASSOCIATE,NYC HOUSING AUTHORITY,Internal,Constituent Services & Community Programs,38333.0,63794.0
552354,CHIEF OF STAFF (FINANCE),DEPARTMENT OF FINANCE,External,"Communications & Intergovernmental Affairs Policy, Research & Analysis",150000.0,185000.0
547983,BUDGET ANALYST (OMB),OFFICE OF MANAGEMENT & BUDGET,External,"Finance, Accounting, & Procurement Policy, Research & Analysis",51550.0,73806.0
528166,POLICE ADMINISTRATIVE AIDE,POLICE DEPARTMENT,Internal,Administration & Human Resources,36390.0,55228.0
505311,ASSOCIATE URBAN DESIGNER,DEPARTMENT OF TRANSPORTATION,Internal,"Engineering, Architecture, & Planning",67757.0,98128.0
552467,EXECUTIVE AGENCY COUNSEL,HOUSING PRESERVATION & DVLPMNT,Internal,Legal Affairs,115000.0,125000.0
549949,CITY RESEARCH SCIENTIST,HOUSING PRESERVATION & DVLPMNT,External,Constituent Services & Community Programs,75504.0,86830.0
542315,ASSOCIATE STAFF ANALYST,NYC HOUSING AUTHORITY,Internal,"Finance, Accounting, & Procurement",70611.0,105138.0
537856,ADMINISTRATIVE STAFF ANALYST (,DEPT OF ENVIRONMENT PROTECTION,Internal,"Engineering, Architecture, & Planning Policy, Research & Analysis",80931.0,208826.0
541794,COMMUNITY ASSOCIATE,DEPARTMENT OF PROBATION,External,Constituent Services & Community Programs,38333.0,63794.0
523682,COMMUNITY COORDINATOR,ADMIN FOR CHILDREN'S SVCS,Internal,Social Services,54100.0,62215.0
535660,ENVIRONMENTAL ENGINEER,DEPT OF CITYWIDE ADMIN SVCS,Internal,"Engineering, Architecture, & Planning",90114.0,103631.0
546753,TELECOMMUNICATIONS ASSOCIATE (,DEPT OF PARKS & RECREATION,External,"Technology, Data & Innovation",75000.0,75000.0
545587,SENIOR STATIONARY ENGINEER (EL,DEPT OF ENVIRONMENT PROTECTION,Internal,Building Operations & Maintenance,618.24,618.24
536490,COMMUNITY COORDINATOR,DEPARTMENT OF TRANSPORTATION,Internal,"Constituent Services & Community Programs Communications & Intergovernmental Affairs Health Public Safety, Inspections, & Enforcement",54100.0,83981.0
531654,YOUTH DEVELOPMENT SPECIALIST,ADMIN FOR CHILDREN'S SVCS,Internal,Social Services,47393.0,62138.0
549431,COMMUNITY ASSOCIATE,HOUSING PRESERVATION & DVLPMNT,Internal,Constituent Services & Community Programs,38333.0,44083.0
545579,AGENCY ATTORNEY,ADMIN TRIALS AND HEARINGS,Internal,Legal Affairs,79620.0,91563.0
536555,ADMIN COMMUNITY RELATIONS SPEC,NYC HOUSING AUTHORITY,External,Communications & Intergovernmental Affairs,110000.0,120000.0
499448,CITY RESEARCH SCIENTIST,DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Health Policy, Research & Analysis",75504.0,86830.0
546838,AGENCY ATTORNEY,NYC EMPLOYEES RETIREMENT SYS,External,Legal Affairs,83158.0,125681.0
546060,COMMUNITY COORDINATOR,CONSUMER AND WORKER PROTECTION,External,Communications & Intergovernmental Affairs,54100.0,62215.0
507992,ADM MANAGER-NON-MGRL FRM M1/M2,FIRE DEPARTMENT,Internal,"Finance, Accounting, & Procurement",66322.0,98830.0
